x;y;z
-1.0;-0.75;1.0
-0.75;-0.75;1.0
-0.5;-0.75;1.0
-0.25;-0.75;1.0
0.0;-0.75;1.0
0.25;-0.75;1.0
0.5;-0.75;1.0
0.75;-0.75;1.0
1.0;-0.75;1.0
1.25;-0.75;1.0
1.5;-0.75;1.0
1.75;-0.75;1.0
2.0;-0.75;1.0
2.25;-0.75;1.0
2.5;-0.75;1.0
2.75;-0.75;1.0
3.0;-0.75;1.0
3.25;-0.75;1.0
3.5;-0.75;1.0
3.75;-0.75;1.0
4.0;-0.75;1.0
4.25;-0.75;1.0
4.5;-0.75;1.0
4.75;-0.75;1.0
5.0;-0.75;1.0
-5;-0.5;1.0
-4.75;-0.5;1.0
-4.5;-0.5;1.0
-4.25;-0.5;1.0
-4.0;-0.5;1.0
-3.75;-0.5;1.0
-3.5;-0.5;1.0
-3.25;-0.5;1.0
-3.0;-0.5;1.0
-2.75;-0.5;1.0
-2.5;-0.5;1.0
-2.25;-0.5;1.0
-2.0;-0.5;1.0
-1.75;-0.5;1.0
-1.5;-0.5;1.0
-1.25;-0.5;1.0
-1.0;-0.5;1.0
-0.75;-0.5;1.0
-0.5;-0.5;1.0
-0.25;-0.5;1.0
0.0;-0.5;1.0
0.25;-0.5;1.0
0.5;-0.5;1.0
0.75;-0.5;1.0
1.0;-0.5;1.0
1.25;-0.5;1.0
1.5;-0.5;1.0
1.75;-0.5;1.0
2.0;-0.5;1.0
2.25;-0.5;1.0
2.5;-0.5;1.0
2.75;-0.5;1.0
3.0;-0.5;1.0
3.25;-0.5;1.0
3.5;-0.5;1.0
3.75;-0.5;1.0
4.0;-0.5;1.0
4.25;-0.5;1.0
4.5;-0.5;1.0
4.75;-0.5;1.0
5.0;-0.5;1.0
-5;-0.25;1.0
-4.75;-0.25;1.0
-4.5;-0.25;1.0
-4.25;-0.25;1.0
-4.0;-0.25;1.0
-3.75;-0.25;1.0
-3.5;-0.25;1.0
-3.25;-0.25;1.0
-3.0;-0.25;1.0
-2.75;-0.25;1.0
-2.5;-0.25;1.0
-2.25;-0.25;1.0
-2.0;-0.25;1.0
-1.75;-0.25;1.0
-1.5;-0.25;1.0
-1.25;-0.25;1.0
-1.0;-0.25;1.0
-0.75;-0.25;1.0
-0.5;-0.25;1.0
-0.25;-0.25;1.0
0.0;-0.25;1.0
0.25;-0.25;1.0
0.5;-0.25;1.0
0.75;-0.25;1.0
1.0;-0.25;1.0
1.25;-0.25;1.0
1.5;-0.25;1.0
1.75;-0.25;1.0
2.0;-0.25;1.0
2.25;-0.25;1.0
2.5;-0.25;1.0
2.75;-0.25;1.0
3.0;-0.25;1.0
3.25;-0.25;1.0
3.5;-0.25;1.0
3.75;-0.25;1.0
4.0;-0.25;1.0
4.25;-0.25;1.0
4.5;-0.25;1.0
4.75;-0.25;1.0
5.0;-0.25;1.0
-5;0.0;1.0
-4.75;0.0;1.0
-4.5;0.0;1.0
-4.25;0.0;1.0
-4.0;0.0;1.0
-3.75;0.0;1.0
-3.5;0.0;1.0
-3.25;0.0;1.0
-3.0;0.0;1.0
-2.75;0.0;1.0
-2.5;0.0;1.0
-2.25;0.0;1.0
-2.0;0.0;1.0
-1.75;0.0;1.0
-1.5;0.0;1.0
-1.25;0.0;1.0
-1.0;0.0;1.0
-0.75;0.0;1.0
-0.5;0.0;1.0
-0.25;0.0;1.0
0.0;0.0;1.0
0.25;0.0;1.0
0.5;0.0;1.0
0.75;0.0;1.0
1.0;0.0;1.0
1.25;0.0;1.0
1.5;0.0;1.0
1.75;0.0;1.0
2.0;0.0;1.0
2.25;0.0;1.0
2.5;0.0;1.0
2.75;0.0;1.0
3.0;0.0;1.0
3.25;0.0;1.0
3.5;0.0;1.0
3.75;0.0;1.0
4.0;0.0;1.0
4.25;0.0;1.0
4.5;0.0;1.0
4.75;0.0;1.0
5.0;0.0;1.0
-5;0.25;1.0
-4.75;0.25;1.0
-4.5;0.25;1.0
-4.25;0.25;1.0
-4.0;0.25;1.0
-3.75;0.25;1.0
-3.5;0.25;1.0
-3.25;0.25;1.0
-3.0;0.25;1.0
-2.75;0.25;1.0
-2.5;0.25;1.0
-2.25;0.25;1.0
-2.0;0.25;1.0
-1.75;0.25;1.0
-1.5;0.25;1.0
-1.25;0.25;1.0
-1.0;0.25;1.0
-0.75;0.25;1.0
-0.5;0.25;1.0
-0.25;0.25;1.0
0.0;0.25;1.0
0.25;0.25;1.0
0.5;0.25;1.0
0.75;0.25;1.0
1.0;0.25;1.0
1.25;0.25;1.0
1.5;0.25;1.0
1.75;0.25;1.0
2.0;0.25;1.0
2.25;0.25;1.0
2.5;0.25;1.0
2.75;0.25;1.0
3.0;0.25;1.0
3.25;0.25;1.0
3.5;0.25;1.0
3.75;0.25;1.0
4.0;0.25;1.0
4.25;0.25;1.0
4.5;0.25;1.0
4.75;0.25;1.0
5.0;0.25;1.0
-5;0.5;1.0
-4.75;0.5;1.0
-4.5;0.5;1.0
-4.25;0.5;0.9666666666666667
-4.0;0.5;1.0
-3.75;0.5;1.0
-3.5;0.5;1.0
-3.25;0.5;1.0
-3.0;0.5;1.0
-2.75;0.5;1.0
-2.5;0.5;0.9666666666666667
-2.25;0.5;1.0
-2.0;0.5;1.0
-1.75;0.5;1.0
-1.5;0.5;0.9666666666666667
-1.25;0.5;1.0
-1.0;0.5;1.0
-0.75;0.5;1.0
-0.5;0.5;1.0
-0.25;0.5;1.0
0.0;0.5;1.0
0.25;0.5;1.0
0.5;0.5;1.0
0.75;0.5;1.0
1.0;0.5;1.0
1.25;0.5;1.0
1.5;0.5;1.0
1.75;0.5;1.0
2.0;0.5;1.0
2.25;0.5;1.0
2.5;0.5;1.0
2.75;0.5;1.0
3.0;0.5;1.0
3.25;0.5;1.0
3.5;0.5;1.0
3.75;0.5;1.0
4.0;0.5;1.0
4.25;0.5;1.0
4.5;0.5;1.0
4.75;0.5;1.0
5.0;0.5;1.0
-5;0.75;1.0
-4.75;0.75;0.9666666666666667
-4.5;0.75;1.0
-4.25;0.75;1.0
-4.0;0.75;1.0
-3.75;0.75;1.0
-3.5;0.75;1.0
-3.25;0.75;1.0
-3.0;0.75;1.0
-2.75;0.75;1.0
-2.5;0.75;1.0
-2.25;0.75;1.0
-2.0;0.75;1.0
-1.75;0.75;1.0
-1.5;0.75;1.0
-1.25;0.75;1.0
-1.0;0.75;1.0
-0.75;0.75;1.0
-0.5;0.75;1.0
-0.25;0.75;1.0
0.0;0.75;1.0
0.25;0.75;1.0
0.5;0.75;1.0
0.75;0.75;1.0
1.0;0.75;1.0
1.25;0.75;1.0
1.5;0.75;1.0
1.75;0.75;1.0
2.0;0.75;1.0
2.25;0.75;1.0
2.5;0.75;1.0
2.75;0.75;1.0
3.0;0.75;1.0
3.25;0.75;1.0
3.5;0.75;1.0
3.75;0.75;1.0
4.0;0.75;1.0
4.25;0.75;1.0
4.5;0.75;1.0
4.75;0.75;1.0
5.0;0.75;1.0
-5;1.0;0.9666666666666667
-4.75;1.0;1.0
-4.5;1.0;1.0
-4.25;1.0;1.0
-4.0;1.0;1.0
-3.75;1.0;1.0
-3.5;1.0;1.0
-3.25;1.0;1.0
-3.0;1.0;1.0
-2.75;1.0;1.0
-2.5;1.0;1.0
-2.25;1.0;1.0
-2.0;1.0;1.0
-1.75;1.0;1.0
-1.5;1.0;1.0
